Title,Employer,Employment Type,Link,Email,Contact Text,Description
Scale A classroom teachers (2 tagged positions),Good Shepherd School (Balmoral),"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqHu-permanent-scale-a-classroom-teacher-2-tagged-positions/,principal@goodshepherd.school.nz,N/A,N/A
Whānau leader / teacher,Hamilton East School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqHt-whanau-leader-permanent-teacher/,lmckenzie@hameast.school.nz,N/A,N/A
Mathematics teacher,Aotea College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqHs-mathematics-teacher/,aln@aotea.school.nz,N/A,N/A
"Scale A teacher, Y5-6",Freyberg Community School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 15/12/2026(Over entitlement Board funded position)",https://gazette.education.govt.nz/vacancies/1HAqHq-fixed-term-scale-a-teacher-y5-6/,mariad@freyberg.school.nz,N/A,N/A
Y2–4 Scale A Kaiako,Kihikihi School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqHm-year-2-4-scale-a-kaiako/,principal@kihikihi.school.nz,N/A,N/A
Y8 teacher,Mt Aspiring College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqHk-year-8-classroom-teacher/,jobs@mtaspiring.school.nz,N/A,N/A
"Teacher 0.8 FTE, (12 months)",Halswell Residential College,"Part time, Fixed term, FTTE up to: 0.8, Start Date: 26/01/2026, End Date: 27/01/2027(Covering FWA)",https://gazette.education.govt.nz/vacancies/1HAqHj-teacher-0-8-fte-fixed-term-12-months/,executive.assistant@halswellcollege.com,N/A,N/A
Scale A teacher,Tirau Primary School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqHh-permanent-scale-a-teacher/,principal@tirau.school.nz,N/A,N/A
Release teacher 0.4FTE - permanent,Halswell Residential College,"Part time, Permanent, FTTE up to: 0.4",https://gazette.education.govt.nz/vacancies/1HAqHg-release-teacher-0-4fte-permanent/,executive.assistant@halswellcollege.com,N/A,N/A
Junior science & social studies teacher,Otago Boys' High School,"Full time, Fixed term, Start Date: 02/02/2026, End Date: 04/12/2026(This position is fixed term to meet the subject and timetable needs for 2026.)",https://gazette.education.govt.nz/vacancies/1HAqHe-junior-science-and-social-studies-teacher/,rector@obhs.school.nz,N/A,N/A
Experienced Y7–8 teacher,Poroutawhao School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 16/12/2025(Study leave)",https://gazette.education.govt.nz/vacancies/1HAqHd-experienced-year-78-teacher/,principal@poroutawhao.school.nz,N/A,N/A
Junior school teacher – 2026,Te Awa School,"Full time, Fixed term, Start Date: 27/01/2026, End Date: 20/12/2026(Special project )",https://gazette.education.govt.nz/vacancies/1HAqHc-junior-school-teacher-fixed-term-2026/,greta@teawa.school.nz,N/A,N/A
Mathematics teacher,Otago Boys' High School,"Full time, Fixed term, Start Date: 02/02/2026, End Date: 04/12/2026(This position is fixed term to meet the subject and timetable needs for 2026.)",https://gazette.education.govt.nz/vacancies/1HAqHb-mathematics-teacher/,rector@obhs.school.nz,N/A,N/A
Y2 teacher - special character position,Hastings Christian School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqHa-year-2-teacher-special-character-position/,a.nieuwland@hcs.school.nz,N/A,N/A
Health & physical education teacher,Otago Boys' High School,"Full time, Fixed term, Start Date: 02/02/2026, End Date: 04/12/2026(This position is fixed term to meet the subject and timetable needs for 2026.)",https://gazette.education.govt.nz/vacancies/1HAqH_-health-and-physical-education-teacher/,rector@obhs.school.nz,N/A,N/A
Kaiako,Takapuna Learning Space,"Full time, Fixed term, Start Date: 05/01/2026, End Date: 30/10/2026(Maternity leave )",https://gazette.education.govt.nz/vacancies/1HAqHY-respectful-passionate-kaiako/,yvonne.groot@thelearningspace.co.nz,N/A,N/A
Classroom teacher,Tangowahine School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqHW-two-teaching-roles-one-full-time-and-one-part-time/,principal@tws.school.nz,N/A,N/A
Learning support coordinator,Epuni School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqHS-learning-support-coordinator/,principal@epuni.school.nz,N/A,N/A
Resource teacher: learning and behaviour,Edgecumbe School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqHG-resource-teacher-learning-and-behaviour/,rtlbcm19edgecumbe@gmail.com,N/A,N/A
Teacher of literacy and numeracy Intervention with supporting subjects,St Bede's College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqHF-teacher-of-literacy-and-numeracy-intervention-with-supporting-subjects/,LMcHaffie@stbedes.school.nz,N/A,N/A
Numeracy teacher,Christ's College,"Full time, Fixed term, Start Date: 28/04/2026, End Date: 04/12/2025(Cover for staff leave )",https://gazette.education.govt.nz/vacancies/1HAqHX-numeracy-teacher/,humanresourcesmanager@christscollege.com,N/A,N/A
Maths teacher. Non tagged,Bishop Viard College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqHN-maths-teacher-non-tagged/,chris@viard.school.nz,N/A,N/A
Classroom release art teacher,Tamaoho School,"Part time, Permanent, FTTE up to: 0.5",https://gazette.education.govt.nz/vacancies/1HAqHH-classroom-release-art-teacher-0-5/,principal@tamaoho.school.nz,N/A,N/A
Centre / classroom teacher,Ilminster Intermediate,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqHD-centre-classroom-teacher/,teachervacancy@ilminster.school.nz,N/A,N/A
Y5–6 teacher - Kahikatea Team,Pirongia School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 16/12/2026(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqHC-year-56-teacher-kahikatea-team-pirongia-school/,kbicknell@pirongia.school.nz,N/A,N/A
Teacher-in-charge of learning support,Gisborne Girls' High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqHB-teacher-in-charge-of-learning-support/,info@gghs.school.nz,N/A,N/A
Learning support coordinator,Hillview Christian School,"Part time, Permanent, FTTE up to: 0.8",https://gazette.education.govt.nz/vacancies/1HAqHA-hillview-christian-school-learning-support-coordinator/,l.stanton@hillview.school.nz,N/A,N/A
Teacher,Opaheke School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqH9-permanent-teacher/,kathrynw@opaheke.school.nz,N/A,N/A
Preschool teacher,Nurture Early Learning Red Beach,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqH8-passionate-pre-school-teacher/,lgalvez@nurtureearlylearning.co.nz,N/A,N/A
Learning area leader - learning support,Rolleston College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqH7-learning-area-leader-learning-support/,recruitment@rollestoncollege.nz,N/A,N/A
Y5–6 teacher -  Kahikatea Team,Pirongia School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqH5-year-56-teacher-kahikatea-team-pirongia-school/,kbicknell@pirongia.school.nz,N/A,N/A
Teacher of literacy,Christ's College,"Full time, Fixed term, Start Date: 28/04/2026, End Date: 03/07/2026(Cover for staff leave )",https://gazette.education.govt.nz/vacancies/1HAqHR-teacher-of-literacy/,humanresourcesmanager@christscollege.com,N/A,N/A
Social science teacher,Otago Boys' High School,"Full time, Fixed term, Start Date: 02/02/2026, End Date: 04/12/2026(Position is fixed term to meet the subject and timetable needs for 2026.)",https://gazette.education.govt.nz/vacancies/1HAqH4-social-science-health-and-pe-mathematics-junior-science-teachers/,rector@obhs.school.nz,N/A,N/A
Teacher of business studies and numeracy support,Chilton Saint James School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 04/12/2026(New role - specific short term curriculum need )",https://gazette.education.govt.nz/vacancies/1HAqH3-teacher-of-business-studies-and-numeracy-support/,execsupport@chilton.school.nz,N/A,N/A
ESOL teacher (English as a second language),Otago Boys' High School,"Part time, Permanent, FTTE up to: 0.8",https://gazette.education.govt.nz/vacancies/1HAqH2-esol-teacher-english-as-a-second-language/,rector@obhs.school.nz,N/A,N/A
"Teacher of physical education, mathematics and materials technology",Chilton Saint James School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqH1-teacher-of-physical-education-mathematics-and-materials-technology/,execsupport@chilton.school.nz,N/A,N/A
Scale A classroom teacher - senior school,Marshall Laing School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqH0-permanent-scale-a-classroom-teacher-senior-school/,davidw@marshall.school.nz,N/A,N/A
Homeroom teacher Y7–8,Cromwell College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqGy-homeroom-teacher-yr-7-and-8/,pa@cromwell.school.nz,N/A,N/A
Qualified Kaiako,The Village Early Learning Centre,"Full time, Fixed term, Start Date: 16/11/2025, End Date: 11/01/2026(Extended leave)",https://gazette.education.govt.nz/vacancies/1HAqGx-qualified-kaiako/,info@thevillageelc.co.nz,N/A,N/A
Learning support co-ordinator (LSC),Tauhoa School,"Part time, Permanent, FTTE up to: 0.2",https://gazette.education.govt.nz/vacancies/1HAqGw-learning-support-co-ordinator-lsc/,principal@tauhoa.school.nz,N/A,N/A
Learning support coordinator,Cobden School,"Part time, Permanent, FTTE up to: 0.2",https://gazette.education.govt.nz/vacancies/1HAqGv-learning-support-coordinator/,principal@cobden.school.nz,N/A,N/A
Teacher,Beaconsfield School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 15/12/2026(Specific project)",https://gazette.education.govt.nz/vacancies/1HAqGu-fixed-term-position/,principal@beaconsfield.school.nz,N/A,N/A
Primary teacher,Taihape Area School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqGt-primary-teacher/,office@tas.school.nz,N/A,N/A
Scale A teacher - 0.6,Hokitika Primary School,"Part time, Fixed term, FTTE up to: 0.6, Start Date: 27/01/2026, End Date: 30/10/2026(This role is to cover a staff member on study leave.)",https://gazette.education.govt.nz/vacancies/1HAqGr-scale-a-position-part-time-6/,principal@hokitika.school.nz,N/A,N/A
Kaiako in Te Whānau Whāriki,Richmond Road School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 16/12/2026(Study leave)",https://gazette.education.govt.nz/vacancies/1HAqGq-kaiako-in-te-whanau-whariki/,office@richmondroad.school.nz,N/A,N/A
Learning support coordinator,Waiau Pa School,"Part time, Permanent, FTTE up to: 0.6",https://gazette.education.govt.nz/vacancies/1HAqGp-learning-support-coordinator/,principal@waiaupa.school.nz,N/A,N/A
Tūnga Kaiako Tau 7-8,TKKM o Te Waiu o Ngati Porou,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqGo-tunga-kaiako-tau-7-8/,tari@tewaiu.school.nz,N/A,N/A
Classroom teacher Y3-5,Hāwera Christian School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqGm-classroom-teacher-year-3-5/,principal@hawerachristian.school.nz,N/A,N/A
Kaiako (2 positions),Whare Kura Morehu ō Ratana,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqGk-kaiako-2-positions/,office@ratana.school.nz,N/A,N/A
Mandarin Chinese language teacher,Chilton Saint James School,"Part time, Fixed term, FTTE up to: 0.4, Start Date: 28/01/2026, End Date: 04/12/2026(Junior classes)",https://gazette.education.govt.nz/vacancies/1HAqGh-part-time-chinese-language-teacher/,execsupport@chilton.school.nz,N/A,N/A
Inclusive learning designer (SENCO / learning support),Ormiston Junior College,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Covering for a staff member on higher duties for the duration of the fixed-term.)",https://gazette.education.govt.nz/vacancies/1HAqGg-inclusive-learning-designer-senco-learning-support/,work@ojc.school.nz,N/A,N/A
Learning coach (teacher) - technology specialist,Ormiston Junior College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqGf-learning-coach-teacher-technology-specialist/,work@ojc.school.nz,N/A,N/A
Learning coaches (teachers) - health & physical education (2-4 positions),Ormiston Junior College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqGe-learning-coaches-teachers-health-and-physical-education-2-4-positions/,work@ojc.school.nz,N/A,N/A
Scale A teacher,St Joseph's School (Stratford),"Full time, Fixed term, Start Date: 02/02/2026, End Date: 16/12/2026(Filling a temporary vacancy (transitional appointment))",https://gazette.education.govt.nz/vacancies/1HAqGd-scale-a-teacher-ftp-non-tagged/,wendieh@stjosephs-stratford.school.nz,N/A,N/A
Learning coaches (teachers) - English (2-4 positions),Ormiston Junior College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqGc-learning-coaches-teachers-english-2-4-positions/,work@ojc.school.nz,N/A,N/A
Scale A teacher – Cl47 (Tagged),St Joseph's School (Stratford),"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqGb-scale-a-cl47-tagged-teacher/,wendieh@stjosephs-stratford.school.nz,N/A,N/A
Kaiako,Little Diggers ELC,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqGa-kaiako-super-star/,manager@littlediggers-ece.co.nz,N/A,N/A
Classroom Kaiako,Aranui School (Wanganui),"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqGZ-classroom-kaiako/,principal@aranui-primary.school.nz,N/A,N/A
Numeracy teacher + lead literacy co-ordinator,Garin College,"Part time, Fixed term, FTTE up to: 0.3, Start Date: 28/01/2026, End Date: 27/01/2027(Covering staff appointed to internal leadership responsibilities in 2026.)",https://gazette.education.govt.nz/vacancies/1HAqGY-numeracy-teacher-lead-literacy-co-ordinator/,hr@garincollege.nz,N/A,N/A
Scale A teacher,Nelson Central School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 15/12/2026(Roll growth)",https://gazette.education.govt.nz/vacancies/1HAqGX-scale-a-teacher/,admin@nelsoncentral.school.nz,N/A,N/A
Junior school kaiako,Cust School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqGW-junior-school-kaiako/,miriam.bell@cust.school.nz,N/A,N/A
Classroom teaching position. Non-tagged,St Patrick's School (Inglewood),"Part time, Permanent, FTTE up to: 0.6",https://gazette.education.govt.nz/vacancies/1HAqGU-classroom-teaching-position-permanent-part-timenegotiable-full-time-non-tagged/,principal@stpatsinglewood.school.nz,N/A,N/A
ELL teacher & junior literacy,Garin College,"Part time, Permanent, FTTE up to: 0.7",https://gazette.education.govt.nz/vacancies/1HAqGT-ell-teacher-and-junior-literacy-part-time-permanent/,hr@garincollege.nz,N/A,N/A
"Junior classroom Kaiako, Māori medium",Koraunui School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 16/12/2026(Extended leave)",https://gazette.education.govt.nz/vacancies/1HAqGR-junior-classroom-kaiako-maori-medium/,principal@koraunui.school.nz,N/A,N/A
Mathematics teacher,St Mary's College (Ponsonby),"Part time, Fixed term, FTTE up to: 0.5, Start Date: 26/01/2026, End Date: 14/12/2026(Covering staff in other roles)",https://gazette.education.govt.nz/vacancies/1HAqGQ-mathematics/,pa@stmaryak.school.nz,N/A,N/A
Teacher,Beaconsfield School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqGP-permanent-teachers/,principal@beaconsfield.school.nz,N/A,N/A
Technology design visual communication teacher 0.3FTTE,Garin College,"Part time, Permanent, FTTE up to: 0.3",https://gazette.education.govt.nz/vacancies/1HAqGJ-technology-design-visual-communication-teacher-permanent-3ftte/,hr@garincollege.nz,N/A,N/A
Technology design visual communication teacher 0.4FTTE,Garin College,"Part time, Fixed term, FTTE up to: 0.4, Start Date: 28/01/2026, End Date: 27/01/2027(This is a fixed term transitional position for the remainder of 2026.)",https://gazette.education.govt.nz/vacancies/1HAqGF-technology-design-visual-communication-teacher-permanent-fixed-totalling-7ftte/,hr@garincollege.nz,N/A,N/A
Y7 class teacher,Michael Park School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqGE-year-7-class-teacher/,admin@michaelpark.school.nz,N/A,N/A
Junior teacher Y1-3,Waikaretu School,"Part time, Fixed term, FTTE up to: 0.6, Start Date: 28/01/2026, End Date: 24/07/2026(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqGB-junior-teacher-maternity-cover-ftte-0-6-years-1-3/,principal@waikaretu.school.nz,N/A,N/A
Teacher of Chinese,Bayfield High School,"Part time, Permanent, FTTE up to: 0.4",https://gazette.education.govt.nz/vacancies/1HAqGA-teacher-of-chinese/,jjohnston@bayfield-high.school.nz,N/A,N/A
Learning support coordinator,Browns Bay School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqG9-learning-support-coordinator/,teresab@brownsbay.school.nz,N/A,N/A
Y6 teacher – 0.4 or 0.6,Matamata Christian School,"Part time, Permanent, FTTE up to: 0.6",https://gazette.education.govt.nz/vacancies/1HAqG7-year-6-teacher-permanent-part-time-0-4-or-0-6/,alistairpaterson@matamata.school.nz,N/A,N/A
Y3–4 teacher,Greerton Village School - Te Kura o Maarawaewae,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Roll growth)",https://gazette.education.govt.nz/vacancies/1HAqG6-year-3-4-teacher/,khenderson-ginns@greerton.school.nz,N/A,N/A
Teacher of technology – hard materials,James Cook High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqG5-teacher-of-technology-hard-materials-permanent-full-time/,a.alasadi@jchs.school.nz,N/A,N/A
Soft materials teacher,Pirongia School,"Part time, Fixed term, FTTE up to: 0.2, Start Date: 02/02/2026, End Date: 12/12/2026(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqG4-soft-materials-teacher-0-2-fte/,kbicknell@pirongia.school.nz,N/A,N/A
New entrant teacher,Bombay School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqFx-new-entrant-teacher/,ppetersen@bombay.school.nz,N/A,N/A
Unqualified infants teacher,New Shoots Children's Centre - Sandhurst,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqFo-unqualified-infants-teacher/,recruitment@newshoots.co.nz,N/A,N/A
Structured Literacy support teacher,Waipa Christian School,"Part time, Fixed term, FTTE up to: 0.2, Start Date: 02/02/2026, End Date: 11/12/2026(Structured Literacy Tier 2 MOE funded for 2026 only)",https://gazette.education.govt.nz/vacancies/1HAqFm-structured-literacy-support-fixed-term-part-time-position-2-ftte/,principal@waipachristian.school.nz,N/A,N/A
Teacher,Duvauchelle School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqFk-full-time-teacher/,principal@duvauchelle.school.nz,N/A,N/A
Senior mathematics teacher,Karamū High School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Study leave)",https://gazette.education.govt.nz/vacancies/1HAqFq-senior-mathematics-teacher/,vacancy@karamu.school.nz,N/A,N/A
Literacy support teacher Y1–6. Tagged,Middleton Grange School,"Part time, Fixed term, FTTE up to: 0.8, Start Date: 23/01/2026, End Date: 11/12/2026(Special project)",https://gazette.education.govt.nz/vacancies/1HAqFi-literacy-support-years-1-6-tagged/,hr@middleton.school.nz,N/A,N/A
Special education needs coordinator (SENCO),Waitakere College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqFu-special-education-needs-coordinator-senco-2mu-start-t1-2026/,suzanneg@waitakerecollege.school.nz,N/A,N/A
Mathematics support teacher Y1–6. Tagged,Middleton Grange School,"Part time, Fixed term, FTTE up to: 0.4, Start Date: 23/01/2026, End Date: 11/12/2026(Special project)",https://gazette.education.govt.nz/vacancies/1HAqFh-mathematics-support-years-1-6-tagged/,hr@middleton.school.nz,N/A,N/A
Maths and science teacher,Hillcrest High School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Person going to part-time work for a year)",https://gazette.education.govt.nz/vacancies/1HAqFg-maths-and-science-teacher/,cwilliams@hillcrest-high.school.nz,N/A,N/A
School teacher (Y1-8) primary school - science/STEM,KingsWay School,"Part time, Permanent, FTTE up to: 0.4",https://gazette.education.govt.nz/vacancies/1HAqFp-kingsway-school-teacher-years-1-8-primary-school-sciencestem/,hr@kingsway.school.nz,N/A,N/A
Mathematics support teacher Y1–6. Tagged,Middleton Grange School,"Part time, Fixed term, FTTE up to: 0.4, Start Date: 23/01/2026, End Date: 11/12/2026(Special project)",https://gazette.education.govt.nz/vacancies/1HAqFf-mathematics-support-role-years-1-6-tagged/,hr@middleton.school.nz,N/A,N/A
School teacher (Y1-8) primary school,KingsWay School,"Full time, Fixed term, Start Date: 20/04/2026, End Date: 10/12/2026(New entrant overflow)",https://gazette.education.govt.nz/vacancies/1HAqFw-kingsway-school-teacher-years-1-8-primary-school-fixed-term/,hr@kingsway.school.nz,N/A,N/A
Head of subject mathematics Y11 to 13,Vanguard Military School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqFe-head-of-subject-mathematics-year-11-to-13/,principal@vanguard.school.nz,N/A,N/A
School teacher (Y7-13) — Biblical studies,KingsWay School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqFt-kingsway-school-teacher-years-7-13-biblical-studies/,hr@kingsway.school.nz,N/A,N/A
Learning and behaviour teacher Y1–6. Tagged,Middleton Grange School,"Part time, Fixed term, FTTE up to: 0.4, Start Date: 23/01/2026, End Date: 11/12/2026(Transitional gap)",https://gazette.education.govt.nz/vacancies/1HAqFd-learning-and-behaviour-years-1-6-tagged/,hr@middleton.school.nz,N/A,N/A
Social sciences teacher,Whakatane High School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqFc-social-sciences-teacher/,admin@whakatanehigh.school.nz,N/A,N/A
Learning and behaviour teacher Y1–6. Tagged,Middleton Grange School,"Part time, Fixed term, FTTE up to: 0.4, Start Date: 23/01/2026, End Date: 11/12/2026(Transitional gap)",https://gazette.education.govt.nz/vacancies/1HAqFb-learning-and-behaviour-years-1-6-tagged/,hr@middleton.school.nz,N/A,N/A
Scale A teacher Y4–5 – 2026,Christchurch East School,"Full time, Fixed term, Start Date: 19/01/2026, End Date: 11/12/2026(Roll growth)",https://gazette.education.govt.nz/vacancies/1HAqFa-2026-scale-a-teacher-fixed-term-year-45/,appointments@chcheast.school.nz,N/A,N/A
English teacher,Waitaki Girls' High School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Increase in numbers/subject demand)",https://gazette.education.govt.nz/vacancies/1HAqFX-english/,principalpa@waitakigirlshigh.school.nz,N/A,N/A
Specialist intervention or classroom teacher,Brunswick School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqFW-permanent-full-time-specialist-intervention-or-classroom-teacher-role/,principal@brunswick.school.nz,N/A,N/A
Teacher-in-training,Swannanoa Preschool,"Part time, Fixed term, FTTE up to: 0.6, Start Date: 14/01/2026, End Date: 18/12/2026(Covering leave)",https://gazette.education.govt.nz/vacancies/1HAqF7-teacher-in-training/,swannanoapreschool@xtra.co.nz,N/A,N/A
Y7 and 8 middle school teacher,William Colenso College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqFG-year-7-and-8-middle-school-teacher/,keleigh.atkins@colenso.school.nz,N/A,N/A
Scale A teachers (2 positions),Henderson Intermediate,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqFU-2-x-scale-a-teachers/,hisbot@hendersonint.school.nz,N/A,N/A
Mathematics and Pacific studies teacher,Waitaki Girls' High School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Introduction of a new subject/subject demand)",https://gazette.education.govt.nz/vacancies/1HAqFS-mathematics-and-pacific-studies-teacher/,principalpa@waitakigirlshigh.school.nz,N/A,N/A
Special education needs teacher,Waiopehu College,"Full time, Fixed term, Start Date: 26/01/2026, End Date: 24/07/2026(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqFR-special-education-needs-teacher/,secretary@waiopehu.ac.nz,N/A,N/A
Scale A teacher  - Phase 1,Tasman School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqF_-scale-a-teacher-phase-1/,principal@tasman.school.nz,N/A,N/A
Maths teacher,Te Kura Māori o Ngā Tapuwae,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqFH-maths-teacher/,lpompey@ngatapuwae.school.nz,N/A,N/A
