Title;Employer;Employment Type;Link;Email;Contact Text;Description;;
Kindergarten kaiwhakaako | head teacher;Central Kids Kindergartens - Charles;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqm3-kindergarten-kaiwhakaako-head-teacher/;a.thompson@centralkids.org.nz;N/A;N/A;;
Scale A teacher;Levin East School;Full time, Fixed term, Start Date: 02/02/2026, End Date: 16/12/2026(Maternity leave);https://gazette.education.govt.nz/vacancies/1HAqm1-scale-a-teacher/;julia@levineast.school.nz;N/A;N/A;;
Learning support coordinator;Thornbury School;Part time, Permanent, FTTE up to: 0.2;https://gazette.education.govt.nz/vacancies/1HAqm0-learning-support-coordinator/;office@thornbury.school.nz;N/A;N/A;;
Y10-13 PE and health teacher;Pacific Advance Secondary School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqkz-y10-13-pe-and-health-teacher-permanent/;falefatue@pass.school.nz;N/A;N/A;;
Y9-13 music teacher;Pacific Advance Secondary School;Full time, Fixed term, Start Date: 27/01/2026, End Date: 27/01/2027(Project specific);https://gazette.education.govt.nz/vacancies/1HAqky-y9-13-music-teacher/;falefatue@pass.school.nz;N/A;N/A;;
Y10 teacher;Pacific Advance Secondary School;Full time, Fixed term, Start Date: 27/01/2026, End Date: 27/01/2027(Project specific);https://gazette.education.govt.nz/vacancies/1HAqkx-year-10-teacher-fixed-term/;falefatue@pass.school.nz;N/A;N/A;;
Y5-8 senior teacher position;Puriri School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqkw-year-5-8-senior-teacher-position/;principal@puriri.school.nz;N/A;N/A;;
Kindergarten teacher; Stokes Valley location;Fetu Ao Kindergarten;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqkv-kindergarten-teacher-stokes-valley-location/;hr@huttkindergartens.org.nz;N/A;N/A;
Teacher of digital technology and/or food technology;Epsom Girls Grammar School;Part time, Fixed term, FTTE up to: 0.3, Start Date: 28/01/2026, End Date: 27/01/2027(Fluctuation in junior option hours);https://gazette.education.govt.nz/vacancies/1HAqku-teacher-of-digital-technology-andor-food-technology/;employment@eggs.school.nz;N/A;N/A;;
Teacher of philosophy;Epsom Girls Grammar School;Part time, Fixed term, FTTE up to: 0.4, Start Date: 28/01/2026, End Date: 27/01/2027(Fluctuation in senior option hours);https://gazette.education.govt.nz/vacancies/1HAqkt-teacher-of-philosophy/;employment@eggs.school.nz;N/A;N/A;;
Teacher of drama;Epsom Girls Grammar School;Part time, Fixed term, FTTE up to: 0.5, Start Date: 28/01/2026, End Date: 27/01/2027(Fluctuation in junior option hours);https://gazette.education.govt.nz/vacancies/1HAqks-teacher-of-drama/;employment@eggs.school.nz;N/A;N/A;;
Science teacher;Fraser High School;Full time, Fixed term, Start Date: 27/01/2026, End Date: 27/01/2027(Roll growth – temporary appointment );https://gazette.education.govt.nz/vacancies/1HAqkq-science-teacher/;careers@fraser.school.nz;N/A;N/A;;
Social sciences teacher;Fraser High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqkp-social-sciences-teacher/;careers@fraser.school.nz;N/A;N/A;;
Teacher for 2026;Wairarapa Cobham Intermediate;Full time, Fixed term, Start Date: 28/01/2026, End Date: 16/12/2026(Roll growth – temporary appointment );https://gazette.education.govt.nz/vacancies/1HAqko-fixed-term-full-time-teacher-for-2026/;cobhamvacancies@gmail.com;N/A;N/A;;
Kaiako Māraurau - Northwood;Central Kids Kindergartens - Northwood;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqkn-kaiako-maraurau-northwood/;hayley.brindle@centralkids.org.nz;N/A;N/A;;
Kaiwhakaako | head teacher - Hinemoa;Central Kids Kindergartens - Hinemoa;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqkm-kaiwhakaako-head-teacher-hinemoa/;hayley.brindle@centralkids.org.nz;N/A;N/A;;
Primary teacher Y4-6;Bethlehem College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqkj-primary-teacher-years-4-6-permanent-full-time/;karen.miller@beth.school.nz;N/A;N/A;;
2026 Classroom teacher;Helensville School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqki-2026-classroom-teacher-permanent-position/;principal@helensville.school.nz;N/A;N/A;;
Teacher - commerce; social science; art;Tauranga Girls' College;Part time, Fixed term, FTTE up to: 0.7, Start Date: 28/01/2026, End Date: 27/01/2027(Cover project release);https://gazette.education.govt.nz/vacancies/1HAqkg-teacher-commerce-social-science-art/;applications@tgc.school.nz;N/A;N/A
Kaiako;Salford School;Part time, Fixed term, FTTE up to: 0.8, Start Date: 28/01/2026, End Date: 26/01/2027(Special project );https://gazette.education.govt.nz/vacancies/1HAqkf-kaiako-part-time-fixed-term-special-project/;admin@salford.school.nz;N/A;N/A;;
Teacher (digital technologies focus);Tamatea High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqke-digital-technology-teacher/;principal@tamatea.school.nz;N/A;N/A;;
Visual art teacher;Garin College;Part time, Permanent, FTTE up to: 0.5;https://gazette.education.govt.nz/vacancies/1HAqkd-visual-art-teacher-up-to-0-5-ftte-permanent/;hr@garincollege.nz;N/A;N/A;;
Performing arts Y1-6;Te Uho O Te Nikau Primary School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqkX-performing-arts-maestro-wanted-years-1-6/;chris@tenikau.school.nz;N/A;N/A;;
English / social studies teacher;St Mary's College (Wellington);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqkW-english-social-studies-teacher/;humanresources@stmw.school.nz;N/A;N/A;;
Scale A teacher Y7–8;Ellerslie School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqkV-scale-a-teacher-permanent-y78-position/;applications@ellerslie.school.nz;N/A;N/A;;
0.6 release teacher;Norsewood and Districts School;Part time, Fixed term, FTTE up to: 0.6, Start Date: 04/02/2026, End Date: 17/12/2026(Release teacher);https://gazette.education.govt.nz/vacancies/1HAqkR-6-release-teacher-fixed-term/;principal@norsewood.school.nz;N/A;N/A;;
English teacher;New Plymouth Girls' High School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 11/12/2026(Cover refreshment leave);https://gazette.education.govt.nz/vacancies/1HAqkQ-english-teacher/;recruitment@npghs.school.nz;N/A;N/A;;
School teacher (Y1-8) primary school;KingsWay School;Part time, Fixed term, FTTE up to: 0.2, Start Date: 28/01/2026, End Date: 10/12/2026(Flexible working arrangement);https://gazette.education.govt.nz/vacancies/1HAqkM-kingsway-school-teacher-years-1-8-primary-school-fixed-term/;hr@kingsway.school.nz;N/A;N/A;;
Mathematics and social sciences teacher;Whakatane High School;Part time, Permanent, FTTE up to: 0.8;https://gazette.education.govt.nz/vacancies/1HAqkK-mathematics-and-social-sciences-teacher/;admin@whakatanehigh.school.nz;N/A;N/A;;
Construction teacher;Whakatane High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqkJ-construction-teacher/;admin@whakatanehigh.school.nz;N/A;N/A;;
Y6 teacher;St Paul's School (Massey);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqkG-y6-teacher/;principal@stpaulsprimary.school.nz;N/A;N/A;;
Technology teacher;Paraparaumu College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqkE-technology-teacher/;Lwc@pc.school.nz;N/A;N/A;;
Teacher;Taoroa School;Full time, Fixed term, Start Date: 20/04/2026, End Date: 18/12/2026(Maternity leave);https://gazette.education.govt.nz/vacancies/1HAqkC-a-fantastic-opportunity-for-a-passionate-teacher-fixed-term/;principal@taoroa.school.nz;N/A;N/A;;
Y5-6 teacher;Randwick Park School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 15/12/2026(Permanent staffing positions are full);https://gazette.education.govt.nz/vacancies/1HAqkB-full-time-fixed-term-year-56-teacher/;rpoffice@randwickpark.school.nz;N/A;N/A;;
Mathematics teacher;Wellington College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqkA-mathematics-teacher-permanent-full-time/;k.burn@wc.school.nz;N/A;N/A;;
Science teacher;Marlborough Boys' College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqk8-science-teacher-2/;apply@mbc.school.nz;N/A;N/A;;
FTP teacher of hard materials;Verdon College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqk3-ftp-teacher-of-hard-materials/;jeruera@verdoncollege.school.nz;N/A;N/A;;
BLENNZ Auckland North - Resource Teacher Vision (RTV);Blind and Low Vision Education Network NZ;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(ORS);https://gazette.education.govt.nz/vacancies/1HAqk1-blennz-auckland-north-resource-teacher-vision-rtv/;sharon.goldsmith@blennz.school.nz;N/A;N/A;;
Team leader English medium | teacher Y6–8;Tāmaki School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqk0-team-leader-english-medium-teacher-year-68-permanent-position/;cleota@tamakiprimary.school.nz;N/A;N/A;;
Learning support coordinator;South Auckland S D A School;Part time, Permanent, FTTE up to: 0.7;https://gazette.education.govt.nz/vacancies/1HAqjz-learning-support-coordinator/;maxinet@sasda.school.nz;N/A;N/A;;
Special education teacher;Te Puke High School;Part time, Fixed term, FTTE up to: 0.4, Start Date: 28/01/2026, End Date: 04/12/2026(Temporary appointment );https://gazette.education.govt.nz/vacancies/1HAqju-special-education-teacher/;principalspa@tepuke.school.nz;N/A;N/A;;
Y6–7 teacher; (0.4 or 0.6);Matamata Christian School;Part time, Permanent, FTTE up to: 0.6;https://gazette.education.govt.nz/vacancies/1HAqjt-year-67-teacher-permanent-part-time-0-4-or-0-6/;alistairpaterson@matamata.school.nz;N/A;N/A;
Teacher of junior social science;Rolleston College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqjs-teacher-of-junior-social-science/;recruitment@rollestoncollege.nz;N/A;N/A;;
Classroom teacher;Pītau-Allenvale School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 16/12/2026(Maternity leave );https://gazette.education.govt.nz/vacancies/1HAqjo-classroom-teacher/;office@allenvale.school.nz;N/A;N/A;;
Science teacher;Tokomairiro High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqjk-science-teacher/;thsprincipal@tokohigh.school.nz;N/A;N/A;;
Music teacher;Mt Albert Grammar School;Full time, Fixed term, Start Date: 22/01/2026, End Date: 11/12/2026(Roll growth);https://gazette.education.govt.nz/vacancies/1HAqji-music-teacher/;shayes@mags.school.nz;N/A;N/A;;
Head teacher;Little Nest Early Learning Centre;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqjf-head-teacher/;info@littlenestelc.co.nz;N/A;N/A;;
English teacher;Mangere College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqjc-english-teacher/;principal@mangerecollege.school.nz;N/A;N/A;;
Scale A teacher; Y5-8;Hamilton Christian School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 19/07/2026(Maternity leave);https://gazette.education.govt.nz/vacancies/1HAqjb-scale-a-teacher/;vacancies@hamiltonchristian.school.nz;N/A;N/A;
Classroom teacher Y7–8;Hastings Intermediate;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqja-classroom-teacher-yr78/;lesleys@hastingsintermediate.school.nz;N/A;N/A;;
Y1 teacher;Andersons Bay School;Full time, Fixed term, Start Date: 27/01/2026, End Date: 16/12/2026(Unexpected Y1 roll growth);https://gazette.education.govt.nz/vacancies/1HAqj_-fixed-term-year-1-teacher-unexpected-roll-growth/;admin@andybay.ac.nz;N/A;N/A;;
Y1-8 0.4 classroom release teacher;Kingsview School;Part time, Fixed term, FTTE up to: 0.4, Start Date: 03/02/2026, End Date: 16/12/2026(Covering leave);https://gazette.education.govt.nz/vacancies/1HAqjZ-y1-y8-0-4-classroom-release-teacher-20-days-per-term/;office@kingsview.school.nz;N/A;N/A;;
Kaiako;Barrytown School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqjT-kaiako/;principal@barrytown.school.nz;N/A;N/A;;
Scale A teacher;Pasadena Intermediate;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqjS-scale-a-teacher-permanent-full-time/;sanjay@pasadena.school.nz;N/A;N/A;;
Y5 and Y6 teacher;Ngunguru School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqjR-teach-at-the-beach/;office@ngunguru.school.nz;N/A;N/A;;
Teacher relief coordinator;Darfield High School;Full time, Fixed term, Start Date: 30/01/2026, End Date: 14/12/2026(Project based);https://gazette.education.govt.nz/vacancies/1HAqjP-teacher-relief-coordinator-fixed-term/;principal@darfield.school.nz;N/A;N/A;;
Y3–4 Kereru Teacher;Thorndon School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqjN-year-34-kereru-teacher/;office@thorndonprimary.school.nz;N/A;N/A;;
Business studies teacher;Rangitīkei College;Part time, Fixed term, FTTE up to: 0.2, Start Date: 02/02/2026, End Date: 11/12/2026(Cover for study award leave);https://gazette.education.govt.nz/vacancies/1HAqjM-business-studies-teacher/;mmarshall@rangitikeicollege.school.nz;N/A;N/A;;
Reo-Rua Scale  junior teacher;Flaxmere Primary School;Full time, Fixed term, Start Date: 29/01/2026, End Date: 11/12/2026(Maternity leave);https://gazette.education.govt.nz/vacancies/1HAqjp-reo-rua-scale-junior-teacher/;robyn.isaacson@flaxmere.school.nz;N/A;N/A;;
Learning support / mentor;Summit Point School;Full time, Fixed term, Start Date: 20/01/2026, End Date: 11/12/2026(Learning support position);https://gazette.education.govt.nz/vacancies/1HAqjr-full-time-learning-support-mentor-needed/;admin@summitpoint.school.nz;N/A;N/A;;
Scale A classroom teacher - new entrant/Y1;Te Anau School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqje-permanent-scale-a-classroom-teacher-new-entrantyear-1/;principal@teanau.school.nz;N/A;N/A;;
Te Reo Maaori teacher 2026;Manurewa High School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 11/12/2026(Parental leave);https://gazette.education.govt.nz/vacancies/1HAqjY-te-reo-maaori-teacher-fixed-term-full-time-2026/;Manaia.Laulu@manurewa.school.nz;N/A;N/A;;
Y9-13 math teacher;Hare Krishna School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqjK-year-9-13-math-teacher/;principal@harekrishna.school.nz;N/A;N/A;;
Teacher - Auckland West Unit (Henderson);Northern Health School;Part time, Permanent, FTTE up to: 0.6;https://gazette.education.govt.nz/vacancies/1HAqjF-teacher-auckland-west-unit-henderson/;employment@nhs.school.nz;N/A;N/A;;
Teacher - Auckland West Unit (Henderson);Northern Health School;Part time, Permanent, FTTE up to: 0.6;https://gazette.education.govt.nz/vacancies/1HAqjE-teacher-auckland-west-unit-henderson/;employment@nhs.school.nz;N/A;N/A;;
Teacher of special needs;Tokoroa High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqjC-teacher-of-special-needs/;elsabea@tokoroahigh.school.nz;N/A;N/A;;
Teacher;Carterton School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Project based);https://gazette.education.govt.nz/vacancies/1HAqjA-fixed-term-teacher/;principal@carterton.school.nz;N/A;N/A;;
Drama teacher;Rangitīkei College;Part time, Permanent, FTTE up to: 0.4;https://gazette.education.govt.nz/vacancies/1HAqjG-drama-teacher/;mmarshall@rangitikeicollege.school.nz;N/A;N/A;;
Teacher of PE and health;Ashburton College;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(While recruiting permanently);https://gazette.education.govt.nz/vacancies/1HAqjB-teacher-of-pe-and-health/;roo@ashcoll.school.nz;N/A;N/A;;
Science teacher;Western Springs College-Ngā Puna o Waiōrea;Full time, Fixed term, Start Date: 27/01/2026, End Date: 02/04/2026(Maternity leave);https://gazette.education.govt.nz/vacancies/1HAqj9-science-teacher/;vacancies@wsc.school.nz;N/A;N/A;;
Scale A teacher;Carterton School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqiz-permanent-scale-a-teacher/;principal@carterton.school.nz;N/A;N/A;;
Mathematics teacher;Stratford High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqj6-mathematics-teacher/;joe.mack@stratfordhigh.school.nz;N/A;N/A;;
Digital technology / soft materials teacher;Forest View High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqj8-digital-techsoft-materials-teacher/;pa@fvhs.school.nz;N/A;N/A;;
Science teacher - biology / chemistry;Forest View High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqj7-science-teacher-biology-chemistry-science/;pa@fvhs.school.nz;N/A;N/A;;
Technology teacher - hard materials;Forest View High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqj5-technology-teacher-hard-materials/;pa@fvhs.school.nz;N/A;N/A;;
Hard materials technology teacher;Akaroa Area School;Part time, Fixed term, FTTE up to: 0.4, Start Date: 28/01/2026, End Date: 27/01/2027(Dependent on student numbers for hard material technology  );https://gazette.education.govt.nz/vacancies/1HAqia-hard-materials-tech-teacher-part-time-or-full-time/;vmcintyre@akaroa.school.nz;N/A;N/A;;
Scale A teacher Y1;Beachlands School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 16/12/2026(Roll growth – temporary appointment );https://gazette.education.govt.nz/vacancies/1HAqj3-scale-a-teacher-fixed-term-full-time-year-1/;principal@beachlands.school.nz;N/A;N/A;;
Mathematics teacher;Mountainview High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqj2-mathematics-teacher/;vacancy@mountainview.school.nz;N/A;N/A;;
Scale A teacher;Kedgley Intermediate;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqj1-scale-a-teacher-permanent/;applications@kedgley.school.nz;N/A;N/A;;
Y2–3 classroom teacher;Tokoroa North School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 18/12/2026(Funded over entitlement);https://gazette.education.govt.nz/vacancies/1HAqj0-y23-classroom-teacher/;vacancies@tokoroanorth.school.nz;N/A;N/A;;
Phase 2 classroom teacher;Tokoroa North School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqiy-phase-2-classroom-teacher/;vacancies@tokoroanorth.school.nz;N/A;N/A;;
Kaiako;Te Whare Rama | Light House Early Learning Centre Cobham Street;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqix-kaiako/;lisa.tewharerama@gmail.com;N/A;N/A;;
Kaiako;Te Whare Rama | Light House Early Learning Centre Edinburgh Street;Part time, Permanent, FTTE up to: 0.4;https://gazette.education.govt.nz/vacancies/1HAqiw-kaiako/;lisa.tewharerama@gmail.com;N/A;N/A;;
Scale A teacher - Y2–3;Newton Central School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqiu-scale-a-teacher-year-2-and-3/;vacancies@newton.school.nz;N/A;N/A;;
Learning support coordinator (LSC);Balmoral S D A School;Part time, Fixed term, FTTE up to: 0.2, Start Date: 02/02/2026, End Date: 11/12/2026(Learning support co-ordinator );https://gazette.education.govt.nz/vacancies/1HAqis-learning-support-coordinator-lsc/;principal@balmoralsda.school.nz;N/A;N/A;;
Faculty of special education teacher;Kaipara College;Part time, Fixed term, FTTE up to: 0.4, Start Date: 28/01/2026, End Date: 27/01/2027(Roll fluctuation - special education);https://gazette.education.govt.nz/vacancies/1HAqiq-faculty-of-special-education-teacher/;tclarke@kaipara.school.nz;N/A;N/A;;
Science teacher;The Catlins Area School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqip-science-teacher/;taniab@catlins.school.nz;N/A;N/A;;
Y1–8 teachers (2 positions);Taumarunui Primary School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqio-y18-teachers-2-positions/;betcro@taumarunui.school.nz;N/A;N/A;;
Kaiako / teacher (qualified or unqualified);Willows Early Learning Centre;Part time, Permanent, FTTE up to: 0.6;https://gazette.education.govt.nz/vacancies/1HAqim-part-time-kaiako-teacher-qualified-or-unqualified/;admin@willowselc.co.nz;N/A;N/A;;
Scale A teacher;Ferndale Te Ahu;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqik-permanent-full-time-scale-a-teacher-position/;principalspa@ferndale.school.nz;N/A;N/A;;
Performing art teacher 0.7;Wellesley College;Part time, Permanent, FTTE up to: 0.7;https://gazette.education.govt.nz/vacancies/1HAqij-performing-art-teacher-0-7/;kristina.appleby@prosperoteaching.com;N/A;N/A;;
