Title,Employer,Employment Type,Link,Email,Contact Text,Description
Mathematics teacher,Wainuiomata High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqpX-mathematics-teacher/,hayleyl@wainuiomatahigh.school.nz,N/A,"St Patrick's College (Silverstream) Wellington Religious studies teacher-Tagged (CL47) position Full time, Permanent Certificated teacher, Tertiary English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 10:21 am 27 November 2025 Closes 2pm 11 December 2025 Reference #: 1HAqm8 Full details"
Specialist teacher (literacy OR numeracy),Parkvale School,"Part time, Fixed term, FTTE up to: 0.6, Start Date: 28/01/2026, End Date: 27/01/2027(Special project)",https://gazette.education.govt.nz/vacancies/1HAqpV-specialist-teacher-literacy-or-numeracy/,principal@parkvale.school.nz,N/A,"Norsewood and Districts School Manawatu/Whanganui 0.6 release teacher Part time, Fixed term, FTTE up to: 0.6, Start Date: 04/02/2026, End Date: 17/12/2026 (Release teacher) Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed 1:47 pm 26 November 2025 Closes 3pm 12 December 2025 Reference #: 1HAqkR Full details"
Teacher of te reo Māori,Northcote College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqpT-teacher-of-te-reo-maori/,smorris@northcote.school.nz,N/A,"Rutherford College Auckland Junior social sciences teacher (plus other subjects) Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 12:44 pm 01 December 2025 Closes 3pm 15 December 2025 Reference #: 1HAqp1 Full details"
Teacher – specialist school,Goldfields School (Paeroa),"Full time, Fixed term, Start Date: 28/01/2026, End Date: 31/12/2026(Fluctuating roll)",https://gazette.education.govt.nz/vacancies/1HAqpW-teacher-position-specialist-school/,chantelle@gfs.school.nz,N/A,"St Patrick's Catholic School (Taupo) Waikato Scale A teacher. Untagged Full time, Fixed term, Start Date: 28/01/2026, End Date: 16/12/2026 (Teacher secondment to a different role) Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 8:45 am 28 November 2025 Closes 4pm 11 December 2025 Reference #: 1HAqnD Full details"
Technology teacher (hard materials),Rutherford College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqpS-technology-teacher-hard-materials/,daviss@rutherford.school.nz,N/A,"Rutherford College Auckland Junior social sciences teacher (plus other subjects) Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 12:44 pm 01 December 2025 Closes 3pm 15 December 2025 Reference #: 1HAqp1 Full details"
Y4–6 teacher,Cheviot Area School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqpR-permanent-full-time-year-4-6-teacher/,principal@cheviot.school.nz,N/A,"Twizel Area School Canterbury New entrants kaiako – starting term 2, 2026 Full time, Permanent Area / composite (Years 1–15), Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Isolation Allowance Suitable for beginning teachers Full details Listed today 11:16 am 01 December 2025 Closes 3pm 19 December 2025 Reference #: 1HAqo_ Full details"
Y6–7 teacher,Matapu School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqpQ-permanent-year-67-teacher-matapu-school/,applications@matapu.school.nz,N/A,"Waverley Primary School Taranaki Senior school teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 3:57 pm 24 November 2025 Closes 3pm 04 December 2025 Reference #: 1HAqhM Full details"
Teacher – additional hours by negotiation,Wakefield School,"Part time, Fixed term, FTTE up to: 0.4, Start Date: 28/01/2026, End Date: 15/12/2026(Covering leave for two teachers (0.2 each))",https://gazette.education.govt.nz/vacancies/1HAqpP-0-4-ftte-fixed-term-position-additional-hours-by-negotiation/,admin@wakefield.school.nz,N/A,"Tahunanui School Tasman/Nelson Teaching position – Y4–5 (0.4 FTTE) Part time, Fixed term, FTTE up to: 0.4, Start Date: 02/02/2026, End Date: 15/12/2026 (LSC release/shared class) Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 1:57 pm 28 November 2025 Closes 12 pm 05 December 2025 Reference #: 1HAqnu Full details"
Y9–13 English teacher,Hamilton Christian School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqpN-year-9-13-english-teacher/,vacancies@hamiltonchristian.school.nz,N/A,"Puriri School Waikato Y5-8 senior teacher position Full time, Permanent Certificated teacher, Certificated teacher, Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Mathematics and statistics Full details Listed 8:57 am 27 November 2025 Closes 4pm 05 December 2025 Reference #: 1HAqkw Full details"
Kaiako: Ngā Kete – Kaupapa Māori (flexible office location),Te Aho o Te Kura Pounamu,"Full time, Fixed term, Start Date: 29/01/2026, End Date: 11/12/2026(Provide support for projected number of ākonga)",https://gazette.education.govt.nz/vacancies/1HAqpM-kaiako-nga-kete-kaupapa-maori/,renee.davis@tekura.school.nz,N/A,"Lynfield College Auckland English teacher Full time, Fixed term, Start Date: 27/01/2026, End Date: 28/01/2027 (Increase in student numbers) Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 4:16 pm 01 December 2025 Closes 12.00 noon 08 December 2025 Reference #: 1HAqpi Full details"
Teacher Y0–3,Waiotahe Valley School,"Part time, Permanent, FTTE up to: 0.4",https://gazette.education.govt.nz/vacancies/1HAqpL-part-time-teacher-year-03-0-4-ftte/,admin@waiotahe.school.nz,N/A,"Kutarere School Bay of Plenty Principal release / CRT release Part time, Permanent, FTTE up to: 0.4 Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 2:23 pm 25 November 2025 Closes 3pm 19 December 2025 Reference #: 1HAqiv Full details"
Teacher of English and social sciences,St Thomas of Canterbury College,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Refreshment leave)",https://gazette.education.govt.nz/vacancies/1HAqpE-teacher-of-english-and-social-sciences/,jfitzgerald@stc.school.nz,N/A,"Darfield High School Canterbury Teacher relief coordinator Full time, Fixed term, Start Date: 30/01/2026, End Date: 14/12/2026 (Project based) Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 11:53 am 26 November 2025 Closes 9am 10 December 2025 Reference #: 1HAqjP Full details"
Infants and toddlers kaiako,Campus Corner Early Learning Centre Inc,"Part time, Permanent, FTTE up to: 0.7",https://gazette.education.govt.nz/vacancies/1HAqpK-infants-and-toddlers-kaiako/,office@campuscorner.co.nz,N/A,"Rutherford Street Kindergarten Tasman/Nelson Qualified certificated kaiako Part time, Permanent, FTTE up to: 0.9 Early learning / kōhanga reo, Certificated teacher Belonging / Mana Whenua, Contribution / Mana Tangata, Communication / Mana Reo, Exploration / Mana Aotūroa, Well-being / Mana Atua Suitable for beginning teachers Full details Listed today 11:13 am 01 December 2025 Closes 3pm 12 December 2025 Reference #: 1HAqob Full details"
Y5–6 Māori enrichment classroom teacher,Pukekohe Hill School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqpH-year-5-and-6-maori-enrichment-classroom/,principal@pukekohehill.school.nz,N/A,"Northcross Intermediate Auckland Scale A teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 4:41 pm 01 December 2025 Closes 4pm 12 December 2025 Reference #: 1HAqpj Full details"
Scale A teacher,Orautoha School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqpG-scale-a-teacher/,application@orautoha.school.nz,N/A,"Coley Street School Manawatu/Whanganui Classroom teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 10:34 am 01 December 2025 Closes 3pm 14 December 2025 Reference #: 1HAqoR Full details"
Music teacher,Sir Edmund Hillary Collegiate Senior School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqpF-music-teacher/,office.seniorschool@sehc.school.nz,N/A,"Rutherford College Auckland Junior social sciences teacher (plus other subjects) Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 12:44 pm 01 December 2025 Closes 3pm 15 December 2025 Reference #: 1HAqp1 Full details"
Visual art specialist teacher,Mt Roskill Intermediate,"Full time, Fixed term, Start Date: 27/01/2026, End Date: 14/12/2025(Board-funded)",https://gazette.education.govt.nz/vacancies/1HAqpC-visual-art-specialist-teacher-fixed-term-2026/,slt@mri.school.nz,N/A,"Pigeon Mountain School Auckland Y6 teacher Full time, Fixed term, Start Date: 28/01/2026, End Date: 15/12/2026 (Maternity leave) Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 10:16 am 01 December 2025 Closes 3pm 05 December 2025 Reference #: 1HAqoK Full details"
Scale A teacher,Pinehaven School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqpB-scale-a-teacher/,principal@pinehaven.school.nz,N/A,"Plimmerton School Wellington Y7 and 8 teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed 8:30 am 28 November 2025 Closes 5pm 05 December 2025 Reference #: 1HAqn1 Full details"
Head of Y7 and 8 (Junior School),Aparima College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqpA-head-of-year-7-and-8-junior-school/,office@aparima.school.nz,N/A,"OneSchool Global - New Zealand Southland Specialist commerce teacher - Gore Campus Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher English, Mathematics and statistics, Social sciences Full details Listed 11:49 am 27 November 2025 Closes 8pm 27 January 2026 Reference #: 1HAqmV Full details"
Certificated teacher for over 3s,The Fire Station Early Learning Centre,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqp6-8-3-over-3s-certificated-teacher/,christie@thefirestation.co.nz,N/A,"Blooming Stars Childcare Auckland NZ registered ECE teacher Full time, Permanent Early learning / kōhanga reo, Certificated teacher Belonging / Mana Whenua, Contribution / Mana Tangata, Communication / Mana Reo, Exploration / Mana Aotūroa, Well-being / Mana Atua Suitable for beginning teachers Full details Listed today 11:29 am 01 December 2025 Closes 31 December 2025 Reference #: 1HAqom Full details"
"Teacher – skills in soft materials, visual arts or DVC",Rototuna Junior High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqp5-teacher-skills-in-soft-materials-visual-arts-or-dvc/,nickyallen@rhs.school.nz,N/A,"Wairere School Waikato Scale A teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 12:42 pm 01 December 2025 Closes 4pm 10 December 2025 Reference #: 1HAqp0 Full details"
Visual arts teacher Y7–10,Rototuna Junior High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqp4-visual-arts-teacher-years-7-10/,nickyallen@rhs.school.nz,N/A,"Fairfield College Waikato Art, social sciences, and learning support Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher Social sciences, The arts Suitable for beginning teachers Full details Listed 12:37 pm 28 November 2025 Closes 3pm 05 December 2025 Reference #: 1HAqne Full details"
Technology (DVC or soft materials) teacher Y7–10,Rototuna Junior High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqp3-technology-dvc-or-soft-materials-teacher-years-7-10/,nickyallen@rhs.school.nz,N/A,"Tokoroa High School Waikato Teacher of special needs Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 9:59 am 26 November 2025 Closes 12 noon 09 December 2025 Reference #: 1HAqjC Full details"
Science teacher – Senior School Y11–13,New Zealand Performance Academy Aotearoa (Proposed opening date: 2026-01-01),"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqp2-science-teacher-senior-school-yr-1113/,enquiries@nzpaa.school.nz,N/A,"OneSchool Global - New Zealand Wellington Specialist science teacher - Wellington Campus Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher Science Full details Listed 12:00 pm 27 November 2025 Closes 8pm 22 January 2026 Reference #: 1HAqmY Full details"
Y7– 8 Scale A teacher,St Joseph's School (Hastings),"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqoe-year-7-8-scale-a-teacher/,principal@stjos.school.nz,N/A,"Nuhaka School Hawke's Bay Scale A teachers (2 positions) Full time, Permanent Certificated teacher, Area / composite (Years 1–15), Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts, Hauora, Hangarau, Ngā Reo, Ngā Toi, Te Reo Māori, Te Reo Pākehā, Tikanga ā-iwi, Pāngarau, Pūtaiao Suitable for beginning teachers Full details Listed today 9:51 am 01 December 2025 Closes 5pm 08 December 2025 Reference #: 1HAqoJ Full details"
Junior social sciences teacher (plus other subjects),Rutherford College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqp1-social-sciences-plus-other-subjects/,daviss@rutherford.school.nz,N/A,"Liston College Auckland Classroom teacher Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 12:29 pm 01 December 2025 Closes 3pm 12 December 2025 Reference #: 1HAqoy Full details"
Scale A teacher,Wairere School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqp0-scale-a-teacher/,principal@wairere.school.nz,N/A,"Bankwood School Waikato Learning support coordinator (0.6) / classroom release teacher (0.4) Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 12:55 pm 28 November 2025 Closes 3pm 08 December 2025 Reference #: 1HAqnp Full details"
Y7 Scale A teacher (Takapuna/ Belmont),Belmont Intermediate,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqoz-y7-scale-a-teacher-takapuna-belmont-start-term-1-2026/,nhill@belmontint.school.nz,N/A,"Northcross Intermediate Auckland Scale A teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 4:41 pm 01 December 2025 Closes 4pm 12 December 2025 Reference #: 1HAqpj Full details"
Classroom teacher,Liston College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqoy-liston-college-classroom-teacher/,vacancy@liston.school.nz,N/A,"Rutherford College Auckland Junior social sciences teacher (plus other subjects) Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 12:44 pm 01 December 2025 Closes 3pm 15 December 2025 Reference #: 1HAqp1 Full details"
Y7–8 mathematics acceleration teacher,Cromwell College,"Full time, Fixed term, Start Date: 09/02/2026, End Date: 11/12/2026(Ministry of Education funded position)",https://gazette.education.govt.nz/vacancies/1HAqox-year-7-8-mathematics-acceleration-teacher/,pa@cromwell.school.nz,N/A,"Darfield High School Canterbury Teacher relief coordinator Full time, Fixed term, Start Date: 30/01/2026, End Date: 14/12/2026 (Project based) Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed 11:53 am 26 November 2025 Closes 9am 10 December 2025 Reference #: 1HAqjP Full details"
Mātanga | specialist teacher\s,Tawa Intermediate,"Part time, Fixed term, FTTE up to: 0.6, Start Date: 28/01/2026, End Date: 27/01/2027(Cover for flexible working arrangements)",https://gazette.education.govt.nz/vacancies/1HAqow-matanga-specialist-teachers/,carol.walter@tawaint.school.nz,N/A,"Parkvale School Hawke's Bay Specialist teacher (literacy OR numeracy) Part time, Fixed term, FTTE up to: 0.6, Start Date: 28/01/2026, End Date: 27/01/2027 (Special project) Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed today 2:03 pm 01 December 2025 Closes 09 December 2025 Reference #: 1HAqpV Full details"
Scale A teachers – Junior School (3 positions),Henderson Valley School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqov-scale-a-teacher-junior-school-3-positions/,janetm@hvschool.co.nz,N/A,"Northcross Intermediate Auckland Scale A teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 4:41 pm 01 December 2025 Closes 4pm 12 December 2025 Reference #: 1HAqpj Full details"
Qualified teacher,Kidz Planet Preschool Ltd,"Full time, Fixed term, Start Date: 05/01/2026, End Date: 05/01/2027(Long-term leave)",https://gazette.education.govt.nz/vacancies/1HAqou-1-year-fixed-term-qualified-position/,kidzplanet@rocketmail.com,N/A,"Kidiwise Preschool and Childcare Bay of Plenty Certified toddlers teacher Full time, Fixed term, Start Date: 28/11/2025, End Date: 02/06/2026 (Maternity leave ) Early learning / kōhanga reo, Certificated teacher Belonging / Mana Whenua, Contribution / Mana Tangata, Communication / Mana Reo, Exploration / Mana Aotūroa, Well-being / Mana Atua Full details Listed 3:32 pm 24 November 2025 Closes 2.00pm 24 December 2025 Reference #: 1HAqhD Full details"
Classroom teacher,Auckland Normal Intermediate,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqot-classroom-teacher/,lsheweiry@ani.school.nz,N/A,"Northcross Intermediate Auckland Scale A teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 4:41 pm 01 December 2025 Closes 4pm 12 December 2025 Reference #: 1HAqpj Full details"
Junior Scale A teacher,Beach Haven School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqor-junior-scale-a-teacher/,principal@beachhaven.school.nz,N/A,"Northcross Intermediate Auckland Scale A teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 4:41 pm 01 December 2025 Closes 4pm 12 December 2025 Reference #: 1HAqpj Full details"
Te reo Māori teacher,Hauraki Plains College,"Part time, Fixed term, FTTE up to: 0.7, Start Date: 27/01/2026, End Date: 24/01/2027(Cover for leave)",https://gazette.education.govt.nz/vacancies/1HAqop-te-reo-maori-teacher/,scottr@haurakiplains.school.nz,N/A,"Te Puna Wai o Waipapa - Hagley College Canterbury Junior specialist teacher - Y9 and 10 Part time, Fixed term, FTTE up to: 0.7, Start Date: 28/01/2026, End Date: 27/01/2027 (Secondment cover) Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed 11:19 am 27 November 2025 Closes 9am 10 December 2025 Reference #: 1HAqmN Full details"
Classroom teacher Y2–4,Rawene School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqoi-classroom-teacher-yr-2-4/,principal@rawene.school.nz,N/A,"Rawene School Northland Classroom teacher Y6–8 Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts MITA Full details Listed today 11:39 am 01 December 2025 Closes 3pm 10 December 2025 Reference #: 1HAqog Full details"
Scale A teacher Y5–6,Pokeno School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqoo-scale-a-teacher-year-56/,principal@pokeno.school.nz,N/A,"Northcross Intermediate Auckland Scale A teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 4:41 pm 01 December 2025 Closes 4pm 12 December 2025 Reference #: 1HAqpj Full details"
